CODE,DATACOUNT,SHOWTIP,COUN_ID,DIFFVALUE,month,STATVALUE,industry_class,TOWN_ID,TOWN_NA,year,SUM,ITEMCOUNT,COUN_NA,api_type
,427,True,66000,,2,1184902.78,,6602500,龍井區,102,1184902.78,427,臺中市,PItemStatistics
,914,True,66000,,2,1263356.69,,6600900,豐原區,102,1263356.69,914,臺中市,PItemStatistics
,399,True,66000,,2,617569.74,,6602600,霧峰區,102,617569.74,399,臺中市,PItemStatistics
,471,True,66000,,3,720396.71,,6601100,大甲區,102,720396.71,471,臺中市,PItemStatistics
,127,True,66000,,3,555529.3,,6602200,大安區,102,555529.3,127,臺中市,PItemStatistics
,276,True,66000,,3,614722.65,,6602400,大肚區,102,614722.65,276,臺中市,PItemStatistics
,1102,True,66000,,3,1136696.86,,6602800,大里區,102,1136696.86,1102,臺中市,PItemStatistics
,602,True,66000,,3,618987.38,,6601800,大雅區,102,618987.38,602,臺中市,PItemStatistics
,178,True,66000,,3,218867.99,,6600100,中區,102,218867.99,178,臺中市,PItemStatistics
,904,True,66000,,3,1231558.31,,6602700,太平區,102,1231558.31,904,臺中市,PItemStatistics
,1356,True,66000,,3,1470601.06,,6600800,北屯區,102,1470601.06,1356,臺中市,PItemStatistics
,903,True,66000,,3,870233.67,,6600500,北區,102,870233.67,903,臺中市,PItemStatistics
,162,True,66000,,3,341420.52,,6602100,外埔區,102,341420.52,162,臺中市,PItemStatistics
,143,True,66000,,3,178018.42,,6602000,石岡區,102,178018.42,143,臺中市,PItemStatistics
,431,True,66000,,3,645893.23,,6601500,后里區,102,645893.23,431,臺中市,PItemStatistics
,1326,True,66000,,3,2098929.87,,6600600,西屯區,102,2098929.87,1326,臺中市,PItemStatistics
,724,True,66000,,3,580050.27,,6600400,西區,102,580050.27,724,臺中市,PItemStatistics
,492,True,66000,,3,769346.6,,6601300,沙鹿區,102,769346.6,492,臺中市,PItemStatistics
,189,True,66000,,3,205684.38,,6602900,和平區,102,205684.38,189,臺中市,PItemStatistics
,511,True,66000,,3,902462.07,,6600200,東區,102,902462.07,511,臺中市,PItemStatistics
,391,True,66000,,3,591935.64,,6601000,東勢區,102,591935.64,391,臺中市,PItemStatistics
,1007,True,66000,,3,1377536.58,,6600700,南屯區,102,1377536.58,1007,臺中市,PItemStatistics
,621,True,66000,,3,598672.97,,6600300,南區,102,598672.97,621,臺中市,PItemStatistics
,441,True,66000,,3,1090780.07,,6602300,烏日區,102,1090780.07,441,臺中市,PItemStatistics
,427,True,66000,,3,885867.25,,6601600,神岡區,102,885867.25,427,臺中市,PItemStatistics
,373,True,66000,,3,977419.51,,6601400,梧棲區,102,977419.51,373,臺中市,PItemStatistics
,651,True,66000,,3,1058134.15,,6601200,清水區,102,1058134.15,651,臺中市,PItemStatistics
,214,True,66000,,3,379684.84,,6601900,新社區,102,379684.84,214,臺中市,PItemStatistics
,529,True,66000,,3,468642.64,,6601700,潭子區,102,468642.64,529,臺中市,PItemStatistics
,427,True,66000,,3,1137168.55,,6602500,龍井區,102,1137168.55,427,臺中市,PItemStatistics
,914,True,66000,,3,1228111.42,,6600900,豐原區,102,1228111.42,914,臺中市,PItemStatistics
,399,True,66000,,3,590273.93,,6602600,霧峰區,102,590273.93,399,臺中市,PItemStatistics
,472,True,66000,,4,697181.8,,6601100,大甲區,102,697181.8,472,臺中市,PItemStatistics
,127,True,66000,,4,537609,,6602200,大安區,102,537609,127,臺中市,PItemStatistics
,276,True,66000,,4,594893,,6602400,大肚區,102,594893,276,臺中市,PItemStatistics
,1104,True,66000,,4,1100030,,6602800,大里區,102,1100030,1104,臺中市,PItemStatistics
,602,True,66000,,4,599020,,6601800,大雅區,102,599020,602,臺中市,PItemStatistics
,179,True,66000,,4,211808,,6600100,中區,102,211808,179,臺中市,PItemStatistics
,905,True,66000,,4,1191831,,6602700,太平區,102,1191831,905,臺中市,PItemStatistics
,1360,True,66000,,4,1423250.46,,6600800,北屯區,102,1423250.46,1360,臺中市,PItemStatistics
,903,True,66000,,4,842163,,6600500,北區,102,842163,903,臺中市,PItemStatistics
,162,True,66000,,4,330407,,6602100,外埔區,102,330407,162,臺中市,PItemStatistics
,143,True,66000,,4,172316,,6602000,石岡區,102,172316,143,臺中市,PItemStatistics
,433,True,66000,,4,625058,,6601500,后里區,102,625058,433,臺中市,PItemStatistics
,1332,True,66000,,4,2031406.65,,6600600,西屯區,102,2031406.65,1332,臺中市,PItemStatistics
,724,True,66000,,4,561340,,6600400,西區,102,561340,724,臺中市,PItemStatistics
