CODE,DATACOUNT,industry_name,SHOWTIP,COUN_ID,DIFFVALUE,month,STATVALUE,industry_class,TOWN_ID,TOWN_NA,year,SUM,ITEMCOUNT,COUN_NA,api_type
,0,批發、零售及餐飲業,False,66000,,1,,F,6602100,外埔區,102,0,,臺中市,PHighStatistics
,0,批發、零售及餐飲業,False,66000,,1,,F,6602000,石岡區,102,0,,臺中市,PHighStatistics
,1,批發、零售及餐飲業,False,66000,,1,7.7,F,6601500,后里區,102,7.7,1,臺中市,PHighStatistics
,22,批發、零售及餐飲業,True,66000,,1,982.6,F,6600600,西屯區,102,982.6,22,臺中市,PHighStatistics
,9,批發、零售及餐飲業,True,66000,,1,312.4,F,6600400,西區,102,312.4,9,臺中市,PHighStatistics
,6,批發、零售及餐飲業,True,66000,,1,60.9,F,6601300,沙鹿區,102,60.9,6,臺中市,PHighStatistics
,0,批發、零售及餐飲業,False,66000,,1,,F,6602900,和平區,102,0,,臺中市,PHighStatistics
,6,批發、零售及餐飲業,True,66000,,1,144.5,F,6600200,東區,102,144.5,6,臺中市,PHighStatistics
,0,批發、零售及餐飲業,False,66000,,1,,F,6601000,東勢區,102,0,,臺中市,PHighStatistics
,9,批發、零售及餐飲業,True,66000,,1,215.3,F,6600700,南屯區,102,215.3,9,臺中市,PHighStatistics
,2,批發、零售及餐飲業,False,66000,,1,71.9,F,6600300,南區,102,71.9,2,臺中市,PHighStatistics
,3,批發、零售及餐飲業,False,66000,,1,18.2,F,6602300,烏日區,102,18.2,3,臺中市,PHighStatistics
,2,批發、零售及餐飲業,False,66000,,1,8.8,F,6601600,神岡區,102,8.8,2,臺中市,PHighStatistics
,5,批發、零售及餐飲業,True,66000,,1,36.2,F,6601400,梧棲區,102,36.2,5,臺中市,PHighStatistics
,7,批發、零售及餐飲業,True,66000,,1,32,F,6601200,清水區,102,32,7,臺中市,PHighStatistics
,0,批發、零售及餐飲業,False,66000,,1,,F,6601900,新社區,102,0,,臺中市,PHighStatistics
,1,批發、零售及餐飲業,False,66000,,1,8.1,F,6601700,潭子區,102,8.1,1,臺中市,PHighStatistics
,1,批發、零售及餐飲業,False,66000,,1,2,F,6602500,龍井區,102,2,1,臺中市,PHighStatistics
,8,批發、零售及餐飲業,True,66000,,1,157,F,6600900,豐原區,102,157,8,臺中市,PHighStatistics
,0,批發、零售及餐飲業,False,66000,,1,,F,6602600,霧峰區,102,0,,臺中市,PHighStatistics
